name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Honold Transit Logistik GmbH,"Errichtung einer Betriebsstätte in 
Jarplund-Weding (Honold)",2008,66504
Sachverständigenbüro Baschant,"MAXCRASH - 
Gebrauchtwagenmanager",2008,66489
Anlagentechnik Thiel GmbH & Co KG,"Errichtung einer Betriebsstätte in 
Neumünster (Anlagentechnik)",2008,65478
Arcus Getriebetechnik Dammenhayn,"Errichtung einer Betriebsstätte in 
Wedel (arcus)",2008,65250
Deutsche Industrie Video System GmbH,"Erweiterung einer Betriebsstätte in 
Bordesholm (Deutsche Video)",2008,62110
Hansen Marketing e.K.,"Verlagerung einer Betriebsstätte nach 
Rantrum (Hansen Marketing)",2008,62079
Innovative-Erodier-Systeme GmbH,"Erweiterung einer Betriebsstätte in 
Brunsbek (IES)",2008,60000
Stadt Norderstedt,"Erstellung eines integrierten 
Stadtentwicklungskonzeptes (ISEK) 
für die Stadt Norderstedt",2008,60000
Lindner GmbH,"Erweiterung einer Betriebsstätte in 
Osterstedt (Lindner)",2008,59700
Morgan-Park,"Verlagerung einer Betriebsstätte in 
Barsbüttel (Morgan-Park)",2008,58494
Hotel und Restaurant Schützenhof,"Modernisierung einer Betriebsstätte in 
Fehmarn (Schützenhof)",2008,56362
Skorzak & Frey GmbH & Co KG,"Errichtung einer Betriebsstätte in 
Flensburg (Skorzak & Frey)",2008,55000
SignDesign GmbH & Co. KG,"Erweiterung einer Betriebsstätte in 
Neumünster (SignDesign)",2008,53650
"proDERM Institut für Angewandte 
Dermatologische Forschung GmbH","Einführung/Entwicklung eines 
Ressourcenplanungssystems",2008,46100
Haus Achtern Diek,"Modernisierung einer Betriebsstätte in 
Fehmarn (Achtern Diek)",2008,45500
Freudenstein Edelstahlbau,"Erwerb einer von Stilllegung 
bedrohten Betriebsstätte in Tarp 
(Freudenstein)",2008,44715
pc:maq GmbH,"Verlagerung einer Betriebsstätte nach 
Flensburg (pc:maq)",2008,43223
"Korth Kristalle GmbH / Dr. Karl Korth 
Monokristalle oHG","Modernernisierung einer 
Betriebsstätte in Altenholz (Korth)",2008,43133
"Herzogtum Lauenburg Marketing und 
Service GmbH","Ganzheitliches Tourismuskonzept für 
den Kreis Herzogtum Lauenburg",2008,42000
Magnopol GmbH & Co. KG,"Errichtung einer Betriebsstätte in 
Reinfeld (Magnopol)",2008,41918
Technologie-Region K.E.R.N. e.V.,"2. Verlängerung des 
Regionalmanagements in der 
K.E.R.N.-Region",2007,37350
"Haus Südstrand Vermietungs- u. 
Restaurations GmbH","Modernisierung einer Betriebsstätte in 
Wittdün (Haus Südstrand 
Vermietungs- und Restaurations 
GmbH)",2007,34662
Jürgens Mechanik GmbH,"Grundlegende Änderung 
Prod.verfahrens (Jürgens)",2008,34500
BeBa Energie GmbH,"BeBa RACE (Ressourcen, Absatz, 
Conrolling und Einkauf)",2008,32550
"Willi O. Bührich GmbH & Co KG / 
Bührich Hardwoods GmbH","Erweiterung einer Betriebsstätte in 
Daldorf (Bührich)",2008,32000
Bunkus GmbH Verpackungswerk,"Erweiterung einer Betriebsstätte in 
Bad Oldesloe (Bunkus)",2008,31888
Jega GmbH,"Erweiterung einer Betriebsstätte in 
Neumünster (Jega)",2008,31424
Elektrogroßhandel C.+R. Witte GmbH,iKibes 2009,2008,30747
"A&B Verpackungsmaschinenmanufaktur 
GmbH","Erweiterung einer Betriebsstätte in 
Bokholt-Hanreder (A&B)",2008,30330
Adolf Baur GmbH,"Innovationsassistentin (Adolf Baur 
GmbH)",2008,30000
Amedon GmbH,"Innovationsassistentin (Amedon 
GmbH)",2008,30000
analytix GmbH,"Innovationsassistentin (analytix 
GmbH)",2008,30000
Arctos Industriekälte AG,"Innovationsassistent (Arctos 
Industriekälte AG)",2008,30000
Ariva.de AG,Innovationsassistent (Ariva.de AG),2008,30000
"Armin Budde & Co. 
Unternehmensberatung GmbH",Innovationsassistent (Budde & Co.),2008,30000
assono GmbH,Innovationsassistent (assono GmbH),2008,30000
Bachorski Kirchhoff GbR,"Innovationsassistent (Bachorski 
Kirchhoff GbR)",2008,30000
Bachorski Kirchhoff GbR,"Innovationsassistent (Bachorski 
Kirchhoff GbR)",2008,30000
"Bader & Jene Software-Ingenieurbüro 
GmbH","Innovationsassistent (Bader & Jene 
Software-Ingenieurbüro GmbH)",2008,30000
bbe Moldaenke GmbH,"Innovationsassistent (bbe Moldaenke 
GmbH)",2008,30000
BeBa Energie GmbH,"Innovationsassistent (BeBa Energie 
GmbH)",2008,30000
BlueBiotech International GmbH,"Innovationsassistent (BlueBiotech 
International GmbH)",2008,30000
C.I.D-Systemhaus GmbH,"Innovationsassistent (C.I.D-
Systemhaus GmbH)",2008,30000
cbb-software GmbH,"Innovationsassistent (cbb-software 
GmbH)",2008,30000
challenge erlebnisagentur GmbH,"Innovationsassistentin (challenge 
erlebnisagentur GmbH)",2008,30000
CogniMed GmbH,"Innovationsassistent (CogniMed 
GmbH)",2008,30000
Conbio GmbH,"Innovationsassistentin (Conbio 
GmbH)",2008,30000
concept b2b,Innovationsassistent (concept b2b),2008,30000
Constirling GmbH,"Innovationsassistent (Constirling 
GmbH)",2008,30000
CONTROS System & Solutions GmbH,"Innovationsassistent (CONTROS 
System & Solution GmbH)",2008,30000
Contros Systems & Solutions GmbH,"Innovationsassistent (Contros 
Systems & Solutions)",2008,30000
Dr. Hastenrath GmbH,"Innovationsassistent (Dr. Hastenrath 
GmbH)",2008,30000
eConnex AG,Innovationsassistent (eConnex AG),2008,30000
"FLS-Fuhrpark & Logistik Systeme 
GmbH","Innovationsassistent (FLS-Fuhrpark & 
Logistik Systeme GmbH)",2008,30000
Glas+Spiegel-Schulz GmbH & Co. KG,"Innovationsassistentin (Glas + Spiegel-
Schulz)",2008,30000
GSG mbH,Innovationsassistent (GSG mbH),2008,30000
Ingenieubüro AQUAtec,"Innovationsassistent (Ingenieurbüro 
AQUAtec)",2008,30000
