ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
279,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Zukunft mit Arbeit im Landkreis Burgenland,
Integrationszentrum für ALG-II-Bezieher - Arbeitsfabrik
Merseburger Str. 138g in 06667 Merseburg",2008," 204,055.00 "
795,"Verein für Integration, Beschäftigung
und Soziales e.V.","Hilfe und Unterstützung bei der Organisation der
außerunterrichtlichen Freizeitgestaltung unter Einbeziehung
pädagogischer Arbeitsmerkmale und Organisation von
Schulbusbegleitung und Schülerlotsendiensten für die
Schulen des Altkreis Mansfelder Land",2008," 201,952.61 "
133,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","""Zukunft mit Arbeit"" im Landkreis Stendal, Arneburger Straße
24, 39576 Stendal",2008," 199,192.00 "
284,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Zukunft mit Arbeit in der Stadt Dessau-Roßlau, Job-Motor -
ein Projekt zur Integration in Arbeit",2008," 195,356.12 "
134,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","""Zukunft mit Arbeit"" in der Landeshauptstadt Magdeburg,
Olvenstedter Straße 66, 39108 Magdeburg",2008," 191,348.00 "
148,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e.V.",GAJL - Gegen Abwanderung junger Landeskinder,2008," 190,770.00 "
834,"Wert.Arbeit GmbH, Berlin","Arbeit und Familie! Auf und davon?-Beteiligungsorientierte
Strukturen und arbeitnehmer/innenfreundliche Lebens- und
Arbeitsverhältnisse schaffen",2008," 190,694.00 "
127,"Bildungsvereinigung Arbeit und Leben
Sachsen-Anhalt e. V.","Personal- und Organisationsentwicklung zur Unterstützung
des Prozesses des lebeenlangen Lernens - ""Safe - Service
Agentur zur fachkräfteentwicklung""",2008," 187,456.00 "
182,BVIK gGmbH,"""Weitere Gestaltung der touristischen Infrastruktur in Hinblick
auf das Zusammmenwachsen eines neuen Landkreises
Anhalt-Bitterfeld durch die Förderung des
Radwandertourismus im Kontext Vernetzung europäischer
und regionaler Regionen""",2008," 187,200.00 "
275,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","""Zukunft mit Arbeit"" im Landkreis Anhalt-Bitterfeld, Hallesche
Straße 78, 06366 Köthen",2008," 185,282.40 "
794,"Verein für Integration, Beschäftigung
und Soziales e.V.","Hilfe und Unterstützung bei der Organisation der
außerunterrichtlichen Freizeitgestaltung an den Schulen des
Landkreises Sangerhausen",2008," 177,305.51 "
703,Stadtsportbund Halle e.V.,"Unterstützung des Breitensports in den Sportvereinen der
Stadt Halle",2008," 172,800.00 "
281,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Zukunft mit Arbeit im Salzlandkreis, Breite Straße 70 - 71 in
06406 Bernburg",2008," 172,468.50 "
831,"Walther Rathenau Verein zur
Förderung der angewandten
Forschung e. V.","Notwendige Verbesserung des Einstiegs von Absolventen
der Geistes-, Kultur- und Sozialwissenschaften an der
Universität Halle ins Wirtschafts-/Berufsleben",2008," 166,529.00 "
573,"MBW Aus- u. Fortbildungsgesell. f.
Wirtschaft und Verw.","Zukunft mit Arbeit in der Landeshauptstadt Magdeburg,
Halberstädter Straße 21 in 39112 Magdeburg",2008," 165,038.99 "
267,ews GmbH Magdeburg,Zukunft mit Arbeit im Altmarkkreis Salzwedel,2008," 162,835.00 "
276,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 161,504.00 "
380,"GSG - Gesellschaft für Sanierung und
Strukturentwicklung Mansfelder Land
mbH","Unterstützung der Kinder- und Jugendarbeit
(Kindertagesstätten, Schulen, Jugendclubs) im Landkreis
Mansfeld-Südharz",2008," 157,440.00 "
271,ews GmbH Magdeburg,"Zukunft mit Arbeit in der Stadt Halle/Saale, Grenzstraße 28 -
06112 Halle / Saale",2008," 156,788.80 "
38,"AFG Arbeitsförderungsgesellschaft
Harz mbH","""Radwandern im Harz - Verbesserung der Verbindungen von
Rad- und Wanderwegen, Gestaltung von Aussichtspunkten""",2008," 156,600.00 "
128,"Bildungswerk der Unternehmerverbände Sachsen-
Anhalt e. V.",Lehrerfortbildungsreihe zur praxisnahen Berufsorientierung,2008," 156,219.00 "
429,Institut für berufliche Bildung GmbH,"Praktikumsmaßnahme zur beruflichen Eingleiderung am
Arbeitsmarkt benachteiligter Personen",2008," 152,500.00 "
121,"Berufsbildungsakademie ""Altmark""","Wiedereingliederung von Behinderten im Akazienweg 27 und
Albrecht-Dürerstr. 40 in 39576 Stendal",2008," 150,000.00 "
567,"Ländliches Bildungszentrum
Wanzleben e.V.","Wiedereingliederung von Behinderten in Bucher Weg 8;
39164 Wanzleben",2008," 149,272.00 "
132,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","""Zukunft mit Arbeit"" im Jerichower Land, Jerichower Straße
50 in 39307 Genthin und Blumentaler Landstr. 2 in 39288
Burg",2008," 145,701.00 "
173,"BTZ Handwerker-Bildungs-Zentrum
Aschersleben","Wiedereingliederung von Behinderten in Rheinstedter Weg
06, Güstener Str. 04 , 06449 Aschersleben",2008," 142,215.00 "
522,"Köthener Beschäftigungs- und
Arbeitsförderungsgesellschaft mbH","Revitalisierung des ehemaligen Braunkohletagebaus Edderitz
und Entwicklung eines Aktiv-Landschaftsparks",2008," 140,400.00 "
686,Stadt Dessau-Roßlau,Qualifizierung von Existenzgründern,2008," 140,250.00 "
843,"Wirtschafts-und Sprachenschule
R.Welling Magdeburg GmbH","Zukunft mit Arbeit im Landkreis Jerichower Land, Kapellenstr.
30 in 39288 Burg und Ziegeleistr. 56 in 39307 Genthin",2008," 138,492.00 "
860,WORKSgGmbH,"Wiedereingliederung von Behinderten am Mühlendamm 3
und Markt 23 in 06526 Sangerhausen",2008," 137,546.17 "
233,"ETZ-Projektmanagement GmbH
Weißenfels",GAJL- Gegen Abwanderung junger Landeskinder,2008," 137,120.00 "
242,"Euro-Schulen Sachsen-Anhalt Süd
GmbH","Wiedereingliederung von Behinderten in Dessauer Landtstr.
61-63 in 06385 Aken und Zerbster Str. 31-32 in 06844
Dessau - Roßlau",2008," 135,366.00 "
842,"Wirtschafts-und Sprachenschule
R.Welling Magdeburg GmbH","Zukunft mit Arbeit im Landkreis Börde, Seegrabenstr. 3,
39326 Wolmirstedt",2008," 132,861.00 "
245,"Euro-Schulen Sachsen-Anhalt Süd
GmbH","Wiedereingliederung von Behinderten in der Philipp-Müller-
Str. 57 inn 06110 Halle/Saale",2008," 132,336.56 "
818,"Verwaltungsgemeinschaft Elbe-Havel-
Land","Maßnahme der Kinder-, Jugend- und Seniorenbetreuung und
Verbesserung der touristischen Infrastruktur, Unterstützung
im Breitensport und Gestaltung kultureller Höhepunkte",2008," 131,402.42 "
171,BTH GmbH Eisleben,"Wiedereingliederung Behinderter in Otto - Spielmann - Str. 4
in 38820 Halberstadt",2008," 129,932.00 "
434,Internationaler Bund e.V.,"Wiedereingliederung von Behinderten in der Friedrich-
Nietzsche Str. 1 in 06618 Naumburg",2008," 127,317.00 "
147,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e.V.",GAJL - Gegen Abwanderung junger Landeskinder,2008," 125,924.00 "
665,"Schweißausbildungsstätte ""Altmark""
GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 122,001.00 "
702,Stadtsportbund Dessau-Roßlau e.V.,"Fachgerechte Erweiterung der spezifischen Möglichkeiten im
Breitensport mit hohem Betreuungsaufwand für
unterschiedliche Zielgruppen in der Region Dessau-Roßlau",2008," 121,715.20 "
214,"Deutsche Angestellten-Akademie
GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 117,692.00 "
196,"CFN - gemeinnützige Gesellschaft
mbH",SNS Scool Network Services II,2008," 115,200.00 "
460,"Jugendwerkstatt ""Frohe Zukunft""
Halle Saalekreis e.V.",Frühkindliche Sprachförderung,2008," 115,200.00 "
