"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"RAC-AZ3-LIBRANDI","Comune di Ciro' Marina(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","LIBRANDI Antonio Cataldo e Nicodemo","800.000,00","800.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-CAPARRA & SICILIANI","Comune di Ciro' Marina(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","CAPARRA E SICILIANI","730.000,00","729.999,94","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-CIMINO & IOPPOLI","Comune di Crotone(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","CIMINO & IOPPOLI","510.000,00","510.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-LE VERDI PRATERIE","Comune di Isola Di Capo Rizzuto(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","LE VERDI PRATERIE","590.135,00","590.134,97","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"Palio Medioevale degli Asini - Comune di Castelsilano","Comune di Castelsilano(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI CASTELSILANO","43.800,00","43.800,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"AC - PIA - DENTALIA SRL","Comune di Crotone(KR)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","DENTALIA SRL","830.000,00","830.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"EC06 - Opere di protezione della fascia litoranea della frazione","Comune di Crucoli(KR)","COMUNE DI CRUCOLI","COMUNE DI CRUCOLI","1.208.438,69","1.208.438,69","613.207,74","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"EC07 - Stabilizzazione della spiaggia in localit� Cappelleri del","Comune di Ciro'(KR)","COMUNE DI CIRO'","COMUNE DI CIRO'","405.361,55","405.361,55","122.196,78","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"EC09 - Interventi di difesa costiera a protezione dell abitato d","Comune di Melissa(KR)","COMUNE DI MELISSA","COMUNE DI MELISSA","1.215.065,68","1.215.065,68","538.366,22","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"SC24-1 - Interventi conservativi urgenti sulle emergenze fortifi","Comune di Rocca Di Neto(KR)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","500.000,00","500.000,00","23.141,77","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
